mental_stigmas_words_mental,mental_stigmas_words_physical,,,,,
"[1.38485495992834, 1.3896236667597162, 1.389657327747533, 1.3869464997157182, 1.385123144602355, 1.377572450596427, 1.390059288259388, 1.372978998705793, 1.379062933403258, 1.366951520819602, 1.357311612491881]","[1.383713142501142, 1.386300835808644, 1.383333384001248, 1.38880373680088, 1.384806534174899, 1.3958810772960981, 1.387160390702216, 1.389984990307124, 1.388158472936184, 1.383604842201792, 1.383168709719524]",,,,,
"[0.03937618854527, 0.032428289092003, 0.031811600744506, 0.035891561116262, 0.037954451336789, 0.048818260621643, 0.03122653522615, 0.05460030105425501, 0.04603861642880901, 0.061615126238248004, 0.074956010495049]","[0.040907109612225004, 0.037390723283472004, 0.041509658954251, 0.034169325750281004, 0.039429285776412006, 0.024551724269674002, 0.036293636410522, 0.03255542107909, 0.035161529595453, 0.041282230115234006, 0.041363960752981]",,,,,
"[0.503479133246513, 0.511069847057671, 0.513515605337024, 0.47750163483134306, 0.501374736275049, 0.45342214114233304, 0.49164344830051204, 0.44138706751863105, 0.474011234880692, 0.46491332184848605, 0.49091223850925403]","[0.505038122871189, 0.5044051780795981, 0.507058689636244, 0.50498698158883, 0.522829263975713, 0.519791802667742, 0.492961952909758, 0.49700059949682907, 0.5024614929794611, 0.48622849274426405, 0.5424345655153281]",,,,,
"[1.059929695849758, 1.069242990916865, 1.070115517950967, 1.060045972646035, 1.070461937166384, 1.047291131374594, 1.06582543593393, 1.036714809452118, 1.049580916878693, 1.042505249296808, 1.053598748051022]","[1.058407645331305, 1.064693516529518, 1.061212239877158, 1.061914688456623, 1.069392189670851, 1.070742664987929, 1.061441845994608, 1.058270483822217, 1.060503253199864, 1.062033345475822, 1.0854043549762271]",,,,,
"[1.024571586679042, 1.024990767297664, 1.025743020748615, 1.014958537309823, 1.013012383165147, 1.004265535639805, 1.019820395021675, 1.003692705503605, 1.013369096154379, 1.000775643897803, 0.9881862268542321]","[1.025215163334292, 1.021698702422442, 1.022562446425808, 1.028307098112185, 1.023886686113221, 1.036132420192863, 1.020752414723143, 1.029683731795982, 1.02751914574118, 1.011570243853092, 1.015010983255513]",,,,,
"[0.24316372093939903, 0.20752306262326703, 0.202923609122957, 0.25218981870391805, 0.249495856840683, 0.33696200856153, 0.216449327045062, 0.368531054042369, 0.29921833989608604, 0.37528381968831903, 0.408738096468002]","[0.24820075072694703, 0.23610385486870303, 0.251349839792527, 0.21656172232134102, 0.23264839711440402, 0.158014066317666, 0.23878470890994402, 0.212564075725501, 0.223030026625774, 0.274474785215199, 0.23896841152640302]",,,,,
"[0.087353467646199, 0.070851062952151, 0.069309411111087, 0.080875785244475, 0.08020221058741901, 0.11018345115614502, 0.06978788123974, 0.126591746729903, 0.10400505559805401, 0.133644028478098, 0.14613982632156702]","[0.09074971468868201, 0.081693254974623, 0.090439020678269, 0.07699500844715601, 0.083318708867385, 0.055413562003629006, 0.08111229661671601, 0.075480309455334, 0.079432813671596, 0.08954170629833001, 0.08064626172723101]",,,,,
"[0.109610537292688, 0.09498259570996101, 0.093137782179498, 0.11191837289183001, 0.11807004180849501, 0.14929555192673602, 0.096850089379132, 0.158951171923455, 0.132451238064612, 0.173020524662329, 0.20964426891522]","[0.11188107147944601, 0.10806392652978701, 0.11536443063785301, 0.096107113750347, 0.110097242983548, 0.070010258259652, 0.106844039277071, 0.09168103630558601, 0.09872591085969601, 0.12654361540008502, 0.122568359448741]",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Distance,,,,,Cosine similarity,
mental_stigmas_words_mental,mental_stigmas_words_physical,,,,mental_stigmas_words_mental,mental_stigmas_words_physical
1.38485496,1.383713143,,,,0.039376189,0.04090711
1.389623667,1.386300836,,,,0.032428289,0.037390723
1.389657328,1.383333384,,,,0.031811601,0.041509659
1.3869465,1.388803737,,,,0.035891561,0.034169326
1.385123145,1.384806534,,,,0.037954451,0.039429286
1.377572451,1.395881077,,,,0.048818261,0.024551724
1.390059288,1.387160391,,,,0.031226535,0.036293636
1.372978999,1.38998499,,,,0.054600301,0.032555421
1.379062933,1.388158473,,,,0.046038616,0.03516153
1.366951521,1.383604842,,,,0.061615126,0.04128223
1.357311612,1.38316871,,,,0.07495601,0.041363961
